cycle,branch,expression,forecastdate,seatprob_Dparty,seatprob_Rparty,seatsheld,simulations,timestamp,chamber_Dparty,chamber_Rparty
2022,Senate,_lite,11/8/22,.027175,.0484,55,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.04625,.084425,54,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.0663,.105,53,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.091,.11385,52,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.1121,.12525,51,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.121975,.121975,50,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.12525,.1121,49,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.11385,.091,48,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.105,.0663,47,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.084425,.04625,46,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.0484,.027175,45,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.02085,.015625,44,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.005225,.008525,43,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.001375,.003725,42,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.000225,.001475,41,40000,00:12:39  8 Nov 2022,,
2022,Senate,_lite,11/8/22,.000075,.0008,40,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,20,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,2,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,19,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,18,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,17,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,16,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,15,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,14,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,13,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,12,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,11,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,100,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,10,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,1,40000,00:12:39  8 Nov 2022,,
,Senate,_lite,11/8/22,,,0,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,99,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,98,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,97,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,96,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,95,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,94,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,93,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,92,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,91,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,90,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,9,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,89,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,88,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,87,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,86,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,85,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,84,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,83,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,82,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,81,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,80,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,8,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,79,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,78,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,77,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,76,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,75,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,74,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,73,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,72,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,71,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,70,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,7,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,69,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,68,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,67,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,66,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,65,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,64,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,63,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,62,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,61,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,6,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,5,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,4,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,39,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,38,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,37,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,36,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,35,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,34,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,33,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,32,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,31,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,30,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,3,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,29,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,28,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,27,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,26,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,25,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,24,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,23,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,22,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,21,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,,,60,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.00005,.000025,59,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.0002,.000175,58,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.000925,.00125,57,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.00285,.008575,56,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.007775,.031525,55,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.0201,.0769,54,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.040125,.126975,53,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.0734,.162775,52,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.116775,.176975,51,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.152625,.152625,50,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.176975,.116775,49,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.162775,.0734,48,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.126975,.040125,47,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.0769,.0201,46,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.031525,.007775,45,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.008575,.00285,44,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.00125,.000925,43,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.000175,.0002,42,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,.000025,.00005,41,40000,00:12:39  8 Nov 2022,,
2022,Senate,_deluxe,11/8/22,,,40,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,20,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,2,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,19,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,18,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,17,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,16,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,15,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,14,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,13,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,12,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,11,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,100,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,10,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,1,40000,00:12:39  8 Nov 2022,,
,Senate,_deluxe,11/8/22,,,0,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,99,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,98,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,97,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,96,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,95,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,94,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,93,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,92,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,91,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,90,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,9,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,89,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,88,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,87,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,86,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,85,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,84,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,83,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,82,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,81,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,80,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,8,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,79,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,78,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,77,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,76,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,75,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,74,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,73,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,72,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,71,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,70,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,7,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,69,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,68,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,67,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,66,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,65,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,64,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,63,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,62,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,61,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,6,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,5,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,4,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,39,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,38,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,37,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,36,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,35,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,34,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,33,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,32,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,31,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,30,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,3,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,29,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,28,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,27,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,26,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,25,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,24,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,23,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,22,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,21,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.00005,.000025,60,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.000225,.0001,59,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.00065,.0003,58,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.002575,.002225,57,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.00675,.01105,56,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.0155,.032525,55,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.03275,.0671,54,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.06085,.107575,53,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.0936,.137,52,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.12415,.156575,51,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.148425,.148425,50,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.156575,.12415,49,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.137,.0936,48,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.107575,.06085,47,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.0671,.03275,46,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.032525,.0155,45,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.01105,.00675,44,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.002225,.002575,43,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.0003,.00065,42,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.0001,.000225,41,40000,00:12:39  8 Nov 2022,,
2022,Senate,_classic,11/8/22,.000025,.00005,40,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,20,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,2,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,19,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,18,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,17,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,16,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,15,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,14,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,13,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,12,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,11,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,100,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,10,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,1,40000,00:12:39  8 Nov 2022,,
,Senate,_classic,11/8/22,,,0,40000,00:12:39  8 Nov 2022,,
